,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
145,1.093714286,70811.81443,44240.5282,0.000284038,1,825443,1.914,0.334487795,0.227229167,0.5,1.892370015,0.919448564,4
146,1.093714286,61513.1651,38431.08578,0.000326975,1,717050,1.914,0.403844448,0.1808625,0.5,1.604215632,0.93055307,4
147,0.8656,66350.17817,40296.89629,0.000311835,0.750000042,1281467.928,1.74877622,0.272159917,0.224558333,0.861928716,2.033744464,0.912574991,4
148,1.093714286,77625.91696,48497.72027,0.000259105,1,904874,1.914,0.28816177,0.289691667,0.5,2.07991853,0.903851512,4
149,1.093714286,80790.40707,50474.77332,0.000248956,1,941762,1.914,0.271574693,0.259570833,0.5,2.064065147,0.904219183,4
150,0.839166667,60757.98842,30359.08568,0.000413912,1.5,653310,1.801376528,0.257064305,0.1863,0.368524242,2.021021912,0.920330711,4
151,1.093714286,54275.53493,33909.28975,0.000370577,1,632682,1.914,0.463429874,0.129920833,0.5,1.37167413,0.947713315,4
152,1.007777778,51194.71136,24744.19717,0.000507836,0.8,809955,2.015555556,0.4431627,0.142695833,0.75,1.539711441,0.941332014,4
153,0.005107587,225.5714238,0.68271713,18.40586598,1.00390712,690898.5761,1.877026799,0.42713219,0.099433333,0.994010825,1.43937331,0.957790947,4
154,1.007777778,60090.046,31338.31928,0.000400979,1.25,656512.8,2.015555556,0.341376731,0.164020833,0.4,1.787367837,0.931461496,4
155,1.093714286,86818.01954,54240.59632,0.000231671,1,1012025,1.914,0.23067169,0.369658333,0.5,2.348056289,0.882667834,4
156,1.093714286,70140.44977,43821.08509,0.000286757,1,817617,1.914,0.345604486,0.175766667,0.5,1.782093478,0.928205543,4
157,0.890232558,57077.50842,29506.80722,0.000425868,1,860219,1.914,0.312176371,0.2179625,0.6,1.97004728,0.917442254,4
158,1.093714286,79035.47392,49378.35784,0.000254484,1,921305,1.914,0.290259163,0.185816667,0.5,1.927971625,0.920565308,4
159,1.093714286,57483.51877,35913.51603,0.000349896,1,670077,1.914,0.431529948,0.141679167,0.5,1.553646392,0.939285589,4
160,1.093714286,74322.88175,46434.10951,0.00027062,1,866371,1.914,0.318249305,0.144066667,0.5,1.870820786,0.936703024,4
161,1.093714286,74205.95484,46361.05802,0.000271046,1,865008,1.914,0.303710514,0.253695833,0.5,2.015218685,0.910050287,4
